AMASKCD,COUNT_RECOM,COUNT_TP
19336.0,1,0
19384.0,4,4
19406.0,5,4
19412.0,3,15
19418.0,3,4
19598.0,64,451
19620.0,1,3
19734.0,4,15
19787.0,89,341
19927.0,113,596
19975.0,3,7
20011.0,102,338
20038.0,34,115
20060.0,58,346
20068.0,273,1623
20121.0,0,5
20147.0,0,1
20218.0,30,121
20243.0,11,66
20297.0,210,1170
20376.0,165,596
20459.0,44,60
20538.0,2,0
20584.0,1,1
20613.0,1,0
20914.0,30,106
20945.0,22,113
20951.0,4,8
20979.0,10,62
21008.0,93,523
21030.0,136,855
21096.0,181,344
21120.0,136,364
21137.0,11,44
21153.0,45,365
21192.0,2,5
21232.0,10,8
21257.0,71,206
21305.0,1,23
21316.0,2,1
21345.0,64,79
21354.0,57,102
21407.0,5,49
21409.0,247,938
21476.0,2,8
21656.0,16,44
21733.0,155,2
21762.0,45,104
21771.0,9,89
21792.0,62,81
21824.0,57,1
21848.0,93,96
21999.0,143,824
22062.0,10,71
22098.0,29,73
22179.0,3,0
22282.0,65,269
22290.0,27,391
22417.0,156,662
22450.0,55,87
22937.0,16,24
22953.0,149,1092
23103.0,2,2
23304.0,36,394
23331.0,1,1
23332.0,113,498
23735.0,15,31
23753.0,24,99
24192.0,174,545
24280.0,0,1
24296.0,4,5
24578.0,1,21
24625.0,2,0
24635.0,20,68
24680.0,49,147
24684.0,67,535
24685.0,86,314
24944.0,202,1381
24946.0,0,1
24947.0,18,20
25074.0,74,19
25170.0,110,152
25202.0,717,3839
25205.0,16,9
25221.0,1,2
25225.0,2,1
25262.0,74,435
25291.0,1,0
25414.0,27,178
25429.0,74,84
25437.0,5,0
25441.0,10,0
30005.0,112,2042
30074.0,141,102
30088.0,26,47
30122.0,87,743
30123.0,7,39
30139.0,124,771
30144.0,7,2
30165.0,2,7
30177.0,77,412
30261.0,18,71
30278.0,205,497
30305.0,9,21
30330.0,37,88
30404.0,3,62
30405.0,101,410
30604.0,20,80
30613.0,34,124
30620.0,1,7
30652.0,201,1373
30659.0,19,14
30665.0,37,0
30700.0,2,4
30703.0,374,1784
30736.0,0,1
30745.0,49,235
30755.0,14,37
30843.0,19,71
30915.0,30,64
30942.0,393,1216
30952.0,3,3
30988.0,72,92
31007.0,36,577
31017.0,58,168
31020.0,54,243
31033.0,77,456
31044.0,84,343
31064.0,126,0
31121.0,57,227
31132.0,12,11
31220.0,78,506
31223.0,117,214
31250.0,53,545
31261.0,46,60
31300.0,14,39
31345.0,59,235
31493.0,30,5
31501.0,85,180
31506.0,130,562
31507.0,22,20
31603.0,259,858
31604.0,84,480
31652.0,0,34
31725.0,3,4
31736.0,189,0
31771.0,56,464
31773.0,9,39
31775.0,147,505
31783.0,39,129
31792.0,63,125
31798.0,64,194
31802.0,83,4
31870.0,69,613
31877.0,31,69
31891.0,180,1123
31893.0,123,935
31914.0,36,338
31949.0,52,144
31998.0,360,1555
32077.0,111,131
32083.0,48,158
32105.0,99,0
32242.0,42,81
32249.0,58,390
32416.0,151,666
