ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
ANDREW/KACZOR,BLAIR,5,0
ANDREW/WEINST,BLAIR,1,0
ANDREWES N,LAZARD,3,18
ANDREWS J,CFRANOWM,0,1
ANDREWS J,DAVIDSON,38,117
ANDREWS J,NEEDHAM,39,244
ANDREWS M,JEFFEREG,15,77
ANDREWS M,WHEAT,16,0
ANDREWS V,MORGAN,149,700
ANDREWS W,RAYMOND,1,0
ANDREWS/FREEM,RAYMOND,14,0
ANDREWS/FREEMAN,RAYMOND,0,15
ANDREWS/MOLCH,RAYMOND,12,0
ANDREWS/MOLCHANOV,RAYMOND,0,39
ANDREYANOVA E,RMG,3,5
ANEGAWA T,MERRILL,0,17
ANG T,PHILIPFS,3,8
ANGELE R,JPMORGAN,66,561
ANGELICO B,HOWARD,1,5
ANGELICO B,IBERIA,34,256
ANGELOV A,MERRILL,1,8
ANGERSTEIN B,CELCAP,2,1
ANGERSTEIN B,ITAU,17,19
ANKETELL C,AEGISCAP,2,1
ANKETELL C,SIDOTI,3,3
ANMUTH D,FRCLAYSC,34,124
ANMUTH D,JPMORGAN,132,1202
ANMUTH D,LEHMAN,3,24
ANMUTH D,MERRILL,0,1
ANMUTH D,OLMSTEAD,0,1
ANMUTH D,WHEAT,0,1
ANN WERTHER C,HCWAIN,13,0
ANNENKOV E,MERRILL,3,6
ANNINGER S,FBOSTON,3,23
ANNIS J,STIFEL,2,4
ANTALFFY D,FRCLAYSC,0,1
ANTALFFY D,LEERINK,46,662
ANTALFFY D,MERRILL,0,1
ANTAY P,KREDIET,3,5
ANTEZANO A,BEAR,2,14
ANTEZANO A,MACQUARI,13,47
ANTHONY C,MACQUARI,4,46
ANTHONY D,ARGUS,28,0
ANTHONY R,BGCPART,1,1
ANTHONY V,AEGISCAP,41,187
ANTHONY V,AXICAP,35,122
ANTHONY V,BEAR,0,2
ANTHONY V,TOPEKA,27,138
ANTONOVA A,JPMORGAN,1,0
ANTOS J,BEAR,2,3
APOSTOLATOS A,CAPELEUR,3,9
APPELBAUM L,GOLDMAN,0,22
APPERT P,GOLDMAN,5,96
APPERT P,KEEFE,0,1
APPERT P,PIPER,76,821
APRILAKIS K,JOLSON,4,29
APRILAKIS K,LAWRENCE,9,19
APRILAKIS K,STIFEL,7,12
AQUINO P,FBOSTON,5,9
ARAGAO D,CANACCOR,0,1
ARAGAO D,GOLDMAN,39,152
ARAGAO D,MORGAN,9,14
ARAI T,MERRILL,2,15
ARAMBURU A,PACMAN,10,10
ARAMBURU A,SANINVLC,4,14
ARANCET M,BALANZ,1,2
ARANDA A,ITAU,23,69
ARAUJO G,ITAU,12,24
ARAUJO R,MERRILL,6,34
ARAYA C,JPMORGAN,1,2
ARCARO D,CFRANOWM,0,2
ARCARO D,MORGAN,11,523
ARCARO D,SIDOTI,5,7
ARCE E,CRUTTEN,13,25
ARCE E,HCWAIN,108,424
ARCE E,MCNICOLL,13,30
ARCE L,CORDAVIV,0,2
ARCHAMBAULT P,FRIEDMAN,0,1
ARCHAMBAULT P,GOLDMAN,63,995
"ARCHAMBAULT, P",GOLDMAN,85,0
ARCHIBALD D,JMDUTTON,1,1
ARCHIBOLD R,KAUFBRO,2,0
ARCHIBOLDJR. R,KAUFBRO,0,20
ARCHILA D,FAHN,11,32
ARCHILA D,STIFEL,39,156
ARCHILA D,WHEAT,45,145
ARCINIEGAS J,BANCOJS,0,1
ARCINIEGAS J,RBCDOMIN,4,37
ARCURI T,FBOSTON,0,1
ARENA L,CENTRO,1,0
ARENSON M,BAKER,1,4
ARENSON M,BGBSEC,17,44
ARENSON M,JANCO,19,28
ARESTIA C,JPMORGAN,3,40
ARFAEI A,BURNS,47,210
ARFAEI A,GKM,19,61
