ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
LEE M,MORGAN,0,1
LEE N,ICBCINT,1,7
LEE P,EVERCO,0,1
LEE P,MCLEOD,2,0
LEE R,KEEFE,203,2157
LEE S,CANACCOR,2,14
LEE S,CHRENUSA,1,10
LEE S,GOLDMAN,0,2
LEE S,HCWAIN,11,32
LEE S,MERRILL,6,21
LEE S,ROBINSON,10,20
LEE S,SEOUL,2,0
LEE T,CARISCO,5,6
LEE T,GOLDMAN,18,77
LEE T,JPMORGAN,0,4
LEE T,OLMSTEAD,0,1
LEE T,PIPER,35,100
LEE W,FAHN,0,4
LEE W,MCLEOD,28,57
LEE W,WOODGUND,0,1
LEE Y,CANTORFZ,2,8
LEE Y,DAISHER,1,3
"LEE, PH.D. A",CANACCOR,2,0
LEEDOM B,CALIFEQ,3,0
LEEDOM B,GHUNTER,29,35
LEEDOM B,RTXSECS,1,0
LEEDOM C,CALIFEQ,0,4
LEEDOM C,RTXSECS,0,3
LEESON J,MCDONALD,5,7
LEFEBVRE J,WHEAT,11,0
LEGARRETA C,ITAU,5,4
LEGENDY P,WEISEL,4,39
LEGG M,CRUTTEN,6,7
LEGG M,MABON,8,4
LEGG M,RTXSECS,7,6
LEGG M,THEBENCH,12,22
LEGGATE D,HOWARD,0,13
LEGGATE D,JEFFEREG,0,1
LEGGATE D,MERRILL,330,1594
LEHMANN A,MERRILL,22,81
LEHRICH D,LAWRENCE,116,672
LEI K,JPMORGAN,18,46
LEI W,CICC,0,1
LEI X,JEFFEREG,2,0
LEINSTER J,BEREN,6,18
LEINSTER J,SOGENED,5,4
LEISTNER M,DGBANK,14,33
LEITE E,FBOSTON,27,55
LEITE L,MERRILL,2,7
LEITE/CAMPOS,FBOSTON,1,1
LEITHEAD M,FRCLAYSC,28,358
LEIVA M,IMTRUST,5,9
LEJUEZ P,CANACCOR,0,1
LEJUEZ P,FBOSTON,38,112
LEJUEZ P,NOMURAUS,43,134
LEJUEZ P,WHEAT,28,0
LEKRAJ V,MRNGSTAR,103,15
LEMARDELEY J,JPMORGAN,19,85
LEMING P,FULGLO,13,15
LEMING P,PRINTECH,25,26
LEMING P,TICON,12,10
LEMOINE L,CITI,0,1
LEMOINE L,PIPER,32,148
LEMOINE L,SCOAST,122,1761
LEN W,GOLDMAN,4,15
LENARDOS P,RBCDOMIN,13,42
LENNAN W,FIRSTALB,4,5
LENNAN W,MONNESS,16,7
LENO E,LEVESQUE,3,3
LENSCHOW R,FRCLAYSC,212,1689
LENSCHOW R,MERRILL,7,12
LENSING C,FBOSTON,1,1
LENZE A,NPLUSONE,5,1
LEO K,MERRILL,0,13
LEON K,CFRANOWM,160,372
LEON K,POORSTAN,52,70
LEONARD D,FBOSTON,24,82
LEONARD D,FIRSANAL,20,35
LEONARD D,LAWRENCE,33,217
LEONARD D,LEERINK,60,372
LEONARD D,WHEAT,31,226
LEONARD J,MORGAN,10,7
LEONARD J,MRNGSTAR,6,0
LEONARD J,SINGRES,3,4
LEONARD/MARSH,FIRSANAL,1,0
LEONE D,BTIG,46,76
LEONE D,MACQUARI,31,66
LEONE D,RAYMOND,66,101
LEONE D,VIRIDIAN,0,1
LEOPOLD S,MKEEGAN,23,108
LEOPOLD S,RAYMOND,133,541
LEOPOLD/CHIU/,RAYMOND,5,0
LEOPOLD/CHIU/KYRIA,RAYMOND,0,8
LEOPOLD/KYRIAKOPOU,RAYMOND,0,1
LEPETUKHINA A,TROIKA,15,26
LEPINE/BRUNET,EXANE,3,15
LEPINE/SALEWY,EXANE,5,0
LEPINE/SALEWYN,EXANE,0,8
LERCHE D,AVIORRES,2,0
LERNER B,POORSTAN,0,1
LERNER B,UNIGAM,20,77
LERNER W,LAWRENCE,6,56
LEROUX L,GOLDMAN,1,12
LESHOCK M,MCDONALD,5,3
LESIAK A,CANACCOR,21,0
LESIAK T,CANACCOR,31,13
LESIAK T,GENUITYC,9,0
LESLIE A,SOGENED,1,0
LESNICK T,SCOAST,49,175
LESSARD D,TDSI,3,19
LESTER O,ARETE,1,2
LESTER S,SIDOTI,18,27
LETHBRIDGE J,WOODGUND,9,25
LEUNG A,PIPER,1,3
LEUNG B,CFRANOWM,0,2
LEUNG B,JPINVEST,63,24
LEUNG C,ARETE,2,1
LEUNG C,BERN,13,11
LEUNG C,GOLDMAN,25,95
LEUNG D,MACQUARI,2,27
LEUNG E,CLALEXHK,68,127
LEUNG E,LAWRENCE,5,11
LEUNG E,MERRILL,90,412
LEUNG E,MIRAE,0,1
LEUNG G,BEACONS,19,40
LEUNG G,KEARNS,39,106
LEUNG H,LAWRENCE,7,36
LEUNG H,SUSQUEH,16,70
LEUNG H,VERISEAR,10,8
LEUNG J,JPMORGAN,0,1
LEUNG K,BEACONS,2,0
LEUNG R,DAIWAUS,11,0
LEUNG R,DIRFH,12,0
LEUNG R,MERRILL,4,5
LEUNG V,LAWRENCE,8,15
LEUNG V,MERRILL,3,12
LEVENSON S,STIFEL,32,185
LEVENSON S,VIRGINIA,0,2
LEVENSTADT B,VERISEAR,9,2
LEVER D,ALTACORP,19,5
LEVI A,CARISCO,26,47
LEVI I,BTIG,14,15
LEVI I,MORGAN,0,4
LEVI-RIBNER J,FRIEDMAN,38,0
LEVIN J,SUSQUEH,0,1
LEVIN M,GHUNTER,54,115
LEVIN M,LAWRENCE,1,12
LEVIN M,SCOTT,66,139
LEVIN M,THEBENCH,25,37
LEVIN M,VIRGINIA,24,30
LEVINE J,JEFFEREG,5,15
LEVINE J,JPMORGAN,4,17
LEVINE M,PIVOTAL,16,81
LEVINE M,WHEAT,0,3
LEVINE P,EVERCO,21,116
LEVINE P,FBOSTON,0,1
LEVINE P,NEEDHAM,2,6
LEVINE R,CFRANOWM,0,1
LEVINE S,IMPERCAP,45,198
LEVINE S,JPMORGAN,47,315
LEVINSON J,MELIUS,6,92
LEVINZON O,FRCLAYSC,8,15
LEVITT S,DOWLING,5,0
LEVSHIN M,VERISEAR,1,1
LEVY B,LAWRENCE,18,129
LEVY B,MKMPARTN,27,236
LEVY C,CLALEXHK,48,203
LEVY C,CLUSA,53,154
LEVY C,MACQUARI,29,106
LEVY D,FBOSTON,27,184
LEVY D,FRCLAYSC,24,92
LEVY E,POORSTAN,64,85
LEVY H,DNC,12,15
LEVY J,CFRANOWM,0,1
LEVY J,ROBINSON,24,138
LEVY M,MACQUARI,21,69
LEVY T,LAWRENCE,8,145
LEVY T,LOEWEN,4,3
LEVY T,OLMSTEAD,15,144
LEVY T,UNTERBUR,15,34
LEW M,HALLUM,17,37
LEW M,NEEDHAM,32,58
LEWANDOWSKI L,MERRILL,17,142
LEWENZ D,VISOR,3,5
LEWIS C,CRUTTEN,29,202
LEWIS D,BEAR,1,0
LEWIS D,JPMORGAN,4,44
LEWIS D,MORGAN,210,781
LEWIS D,RAYMOND,9,27
LEWIS E,ATLANEQU,32,191
LEWIS E,CFRANOWM,0,16
LEWIS E,REDBURN,10,34
LEWIS G,BTIG,118,250
LEWIS G,FBOSTON,145,582
LEWIS G,GHUNTER,0,1
LEWIS H,FAHN,17,22
LEWIS H,FRIEDMAN,11,10
LEWIS H,SCOTT,63,226
LEWIS J,NORTHLAN,2,14
LEWIS M,LAZARD,39,34
LEWIS M,ROBINSON,115,907
LEWIS M,SCOTT,28,75
LEWIS R,SINGRES,2,2
LEWIS/MARTIN,CRUTTEN,0,1
LEY J,ITAU,2,31
LEY J,SANINVLC,2,5
LEYBA R,SANINVLC,6,9
LEYTES P,BEREN,7,23
LI A,CLALEXHK,3,0
LI A,FBOSTON,2,5
LI A,JEFFEREG,0,1
LI A,JPMORGAN,2,7
LI A,MERRILL,4,20
LI B,CLALEXHK,1,2
LI B,HUAFIN,1,1
LI B,JPMORGAN,0,0
LI B,MERRILL,9,33
LI B,MORGAN,33,76
LI C,GOLDMAN,1,3
LI C,MACQUARI,1,8
LI C,MERRILL,9,51
LI D,MERRILL,2,7
LI E,BNPFH,1,3
LI E,CAPELEUR,1,1
LI F,GUOJUN,1,0
LI H,ACCOUNT,69,81
LI H,DAVIDSON,0,1
LI H,STANFIN,12,32
LI J,CICC,3,17
LI J,DREXEL,8,31
LI J,GOLDMAN,3,17
LI J,GTJA,9,2
LI J,HUAFIN,1,0
LI J,JEFFEREG,1,5
LI J,MERRILL,1,8
LI K,JPMORGAN,10,20
LI L,CIMBFM,1,0
LI L,MERRILL,3,0
LI M,ARETE,32,13
LI M,BERN,26,111
LI M,BLAYROB,0,1
LI M,CICC,4,24
LI M,DBSFH,2,4
LI M,MERRILL,8,24
LI M,MIZUSEC,4,9
LI M,YUANTA,4,11
LI R,CCB,2,0
LI R,JEFFEREG,2,5
LI R,LEERINK,0,6
LI S,GOEPEL,31,162
LI S,GOLDMAN,2,11
LI S,RAYMOND,8,5
LI T,BOCI,12,48
LI T,STANCARD,1,1
LI V,PIPER,1,4
LI W,LADENBUR,26,106
LI X,CITICSEC,2,0
LI Y,CICC,2,8
LI Y,JEFFEREG,5,40
LI Z,CITICSEC,1,0
LI Z,CLALEXHK,1,2
"LI, PH.D., CF R",LEERINK,1,0
LI/GOODMAN,LEERINK,1,1
LIAN B,FAHN,12,7
LIAN B,GHUNTER,12,13
LIAN B,ROBINSON,10,15
LIAN D,HUAFIN,2,10
LIAN D,MERRILL,2,16
LIAN J,DNC,26,224
LIANG H,LEERINK,79,245
LIANG J,CHINAFA,4,14
LIANG M,CAPELEUR,1,0
LIANG R,BERN,3,7
LIANG Y,CMCCS,2,0
LIANI T,MERRILL,219,1040
LIAO A,FUBON,2,0
LIAO B,CANACCOR,2,0
LIAO L,JEFFEREG,2,12
LIAO P,CHINAFA,1,2
LIAO P,NOMURAUS,4,6
LIAO S,BERN,1,0
LIAO Y,CITICSEC,1,1
LIBIN S,GENOSSEN,43,37
LICHT O,IBI,10,7
LICHTENHELDT C,BJM,0,1
LICHTENHELDT C,DEACON,3,0
LICHTER J,SIDOTI,15,1
LICHTMAN S,FAHN,71,654
LICHTMAN S,JOLSON,11,8
LICHTMAN S,MONTSEC,6,18
LICK J,FRIEDMAN,13,29
LICKRISH D,FIRSTALB,3,3
LIDDY G,JPMORGAN,1,0
LIE H,DANBORS,1,0
LIE M,CLALEXHK,3,0
LIEBERMAN G,STANFIN,10,21
LIEBERMAN G,WHEAT,92,20
LIEBERMAN L,FRCLAYSC,89,1010
LIEBERMAN L,LEHMAN,7,18
LIEBOWITZ G,WHEAT,20,15
LIESCH A,ARETE,0,1
LIESCH A,CFRANOWM,0,3
LIESCH A,PIPER,42,515
LIESCH A,SANDLER,36,621
LIESCH A,SIDOTI,0,1
LIESCH/MILSAPS,SANDLER,0,9
LIINAMAA M,MORGAN,54,67
LILJA T,FELTL,14,36
LILLIS M,CANTORFZ,1,14
LIM A,CFRANOWM,3,7
LIM A,SOGENED,33,153
LIM D,WHEAT,13,71
LIM H,DAEWOO,3,5
LIM J,EXANE,0,2
LIM S,CIMBFM,1,0
LIMA G,BRADESCO,1,0
LIMA G,FRCLAYSC,4,0
LIN (ERIC) Q,GUOSEN,1,1
LIN A,BNPFH,9,5
LIN A,CAPELEUR,3,3
LIN B,JPMORGAN,3,3
LIN B,MERRILL,5,48
LIN B,MORGAN,10,16
LIN C,HCWAIN,6,7
LIN C,JESUPLAM,4,4
LIN J,EITYSIX,7,4
LIN J,MORGAN,2,3
LIN K,KEARNS,3,0
LIN K,RESEARCH,1,0
LIN L,JPMORGAN,2,3
LIN L,MORGAN,1,0
LIN Q,SHENWAN,2,0
LIN R,MORGAN,26,36
LIN R,SPDBINT,1,2
LIN S,CICC,3,17
LIN S,GTJA,2,1
LIN S,UNITEDSE,1,0
LIN T,CAPELEUR,1,5
LIN T,GOLDMAN,2,2
LIN T,GUOJUN,1,0
LIN V,GOLDMAN,31,110
LIN W,ESUN,1,0
LINDBERG A,WMSMITH,1,32
LINDBERG P,ABG,3,2
LINDBERG P,MFGLOBAL,11,10
LINDEBERG V,CARNEGIE,4,0
LINDQVIST P,HAGSTRM,1,0
LINDSAY J,BERN,11,76
LINDSAY P,CAPELEUR,13,43
LINDSAY P,FRIEDMAN,0,1
LINDSTROM A,ABG,2,3
LINENBERG M,EQUISIGH,0,1
LINENBERG M,LAWRENCE,207,728
LINENBERG M,MERRILL,57,112
LING A,JEFFEREG,4,22
LING A,LAWRENCE,4,21
LING L,DBSFH,1,1
LING P,DNC,1,6
LING T,DAIWAUS,0,21
LING T,DIRFH,0,1
LING V,BNPFH,16,43
LINSDELL N,INDALSEC,13,6
LINZEY B,CFRANOWM,0,1
LINZEY B,MIZUSEC,35,197
LINZEY B,VERTRESP,36,123
LIPACIS M,JEFFEREG,65,904
LIPACIS M,JOLSON,0,1
LIPACIS M,MORGAN,105,185
LIPKE D,STEPHENS,13,62
LIPMAN M,MIDEST,4,16
LIPMAN S,IBI,5,0
LIPNER D,CLUSA,6,6
LIPPMANN N,MORGAN,22,39
LIPPOLD M,CRAIG,1,3
LIPPONEN J,KEEFE,5,67
LIPSCHITZ D,CLALEXHK,27,158
LIPSCHITZ D,CLUSA,48,209
LIPSCHITZ D,MACQUARI,21,126
LIPSCHITZ D,MERRILL,29,56
LIPSCHITZ D,SIDOTI,0,1
LIPTAK W,BARRING,46,130
LIPTAK W,GHUNTER,193,698
LIPTAK W,MERRILL,0,1
LIPTAK W,RBCDOMIN,0,1
LIS H,GRIFFMCB,1,1
LISS/ROSLUND,SWEDBANK,0,11
LISSOVOLIK Y,LAWRENCE,3,22
LISTON T,DLOUHY,23,88
LISTON T,LEVESQUE,0,1
LITTLEWOOD N,FBOSTON,36,51
LITTUNEN M,BERN,4,20
LITVIN A,EDISON,0,1
LITVIN A,FURMAN,3,1
LITYNSKI G,KREDIET,1,2
LIU A,CHRENUSA,19,25
LIU A,DAIWAUS,3,20
LIU A,SPACSEC,1,0
LIU B,GOLDMAN,10,14
LIU B,JPMORGAN,0,2
LIU C,CAPELEUR,19,104
LIU C,CHRENUSA,8,26
LIU C,CICC,0,1
LIU C,FAHN,0,1
LIU C,JPMORGAN,0,1
LIU C,LEERINK,9,37
LIU C,NOMURAUS,1,8
LIU D,BRIGANUS,34,30
LIU D,MAXIM,7,16
LIU E,ARETE,1,2
LIU E,CLALEXHK,2,5
LIU E,EDISON,0,1
LIU F,GOLDMAN,10,48
LIU G,BOCI,1,0
LIU I,EVERCO,1,43
LIU J,ARDOUR,89,155
LIU J,AURIGA,12,25
LIU J,BNPFH,1,1
LIU J,CAPELEUR,2,4
LIU J,CHINAFA,3,0
LIU J,CICC,15,21
LIU J,CLALEXHK,7,0
LIU J,FBOSTON,3,11
LIU J,MORGAN,2,11
LIU J,VERISEAR,2,2
LIU K,BRILEY,98,459
LIU K,EBRIGHT,0,2
LIU K,FRIEDMAN,22,52
LIU K,KLIUC,0,55
LIU K,MORGAN,3,3
LIU K,YUANTA,5,8
LIU L,CMCCS,3,0
LIU L,FUBON,4,0
LIU L,GRANDATI,1,1
LIU L,JPMORGAN,0,3
LIU M,ARGUS,52,0
LIU M,CLALEXHK,10,18
LIU M,CMCCS,2,6
LIU M,MORGAN,1,3
LIU R,CAPELEUR,1,12
LIU R,MERRILL,0,2
LIU S,BNPFH,5,7
LIU S,STANCARD,1,3
LIU T,CLALEXHK,1,3
LIU W,CFRANOWM,0,1
LIU X,INDUS,1,1
LIU X,JPMORGAN,14,136
LIU Y,CAPELEUR,5,5
LIU Y,CICC,3,5
LIU Y,MORGAN,22,20
LIU Y,SHENWAN,3,3
LIU Y,SWESTSEC,4,4
LIU Z,CITICSEC,5,0
LIVELY B,PICKERIN,80,558
LIVNAT O,DAVIDSON,0,1
LIVNAT O,HCWAIN,32,226
LIVNAT O,JEFFEREG,1,23
LIVNAT O,JOLSON,9,27
LIVSHITS G,CHARDAN,17,176
"LIVSHITS, PHD G",CHARDAN,11,0
LIWAG K,MERRILL,27,76
LIWAG K,MORGAN,51,175
LIZZUL A,JPMORGAN,2,2
LIZZUL A,MERRILL,10,39
LJUNGGREN P,PREDICTP,1,0
LLANES M,FBOSTON,1,1
LLOYD W,LAWRENCE,1,0
LO C,CAPELEUR,5,14
LO C,NOMURAFH,2,9
LO E,MERRILL,19,41
LO G,NOMURAUS,2,0
LO J,MERRILL,1,0
LO K,FENERGY,1,3
LO K,GHUNTER,0,1
LO M,MIZUSEC,10,14
LOBAZOV A,ATONLINE,1,0
LOBBENBERG A,CAPELEUR,2,15
LOCHRIDGE C,MERRILL,1,4
LOCHRIDGE C,STEPHENS,7,21
LOCKER H,MORGAN,1,0
LOCKER J,FBNSEC,24,9
LOCKMAN S,PIPER,0,15
LOCRAFT G,MORGAN,32,48
LODAYA B,BURNS,2,4
LODAYA B,FBOSTON,11,68
LODDEN G,DNC,15,40
LODDEN G,FORTNED,11,14
LODES E,JPMORGAN,1,3
LOE D,BYRON,9,5
LOE D,DLOUHY,16,14
LOE D,EUROPAC,40,62
LOE D,FBOSTON,0,1
LOE D,LEEJONES,7,6
LOE D,WMSMITH,0,1
LOEBACH R,FBOSTON,0,2
LOEWY B,STURDIV,3,3
LOFIEGO T,BRADESCO,30,93
LOFIEGO T,MERRILL,36,77
LOGAN M,RBCDOMIN,3,16
LOGSDON J,ASCENDIA,10,7
LOGSDON J,GKM,37,272
LOGSDON J,HUDSONSQ,8,9
LOGSDON J,JBLADVIS,28,43
LOH M,WRHCO,3,2
LOHIA V,VALUEIP,1,1
LOIBERG T,POFEK,1,2
LOKKE S,CARNEGIE,5,0
LONDE R,WHEAT,76,4
LONEGAN M,EVERCO,4,39
LONG D,BLAIR,10,0
LONG D,RAYMOND,198,877
LONG I,BEREN,10,20
LONG J,STEPHENS,63,934
LONG M,KEEFE,1,2
LONG R,CORPSYNG,2,0
LONG T,BURNS,68,396
LONG T,FBOSTON,23,24
LONG T,FRCLAYSC,63,466
LONG T,GKM,61,276
LONG T,MERRILL,3,21
LONG T,MONTSEC,5,90
LONGIARU C,SIDOTI,56,197
LONGLEY A,BUCK,76,272
LONGO A,JPMORGAN,2,8
LONGSTREET J,FBOSTON,1,2
LOO J,POORSTAN,40,56
LOO K,MERRILL,5,16
LOOMIS W,STIFEL,45,135
LOPES F,MERRILL,5,27
LOPES L,FBOSTON,2,0
LOPEZ C,MACQUARI,4,8
LOPEZ C,TRISTONE,6,13
LOPEZ E,ACCIVAL,1,0
LOPEZ E,MERRILL,10,20
LOPEZ EGUIGUR G,REDBURN,1,0
LOPEZ G,REDBURN,0,2
LOPEZ ROMERO R,SANINVLC,2,6
LORRAIN P,BEREN,3,6
LOSEV G,AURIGA,16,13
LOSEV G,WBETH,20,26
LOSKAMP T,JBEF,4,11
LOSTRITTO P,FRIEDMAN,0,1
LOSTRITTO P,HARRISNC,4,3
LOSTRITTO P,LEVESQUE,24,2
LOTTINVILLE W,JMDUTTON,6,6
LOTZ S,KEEFE,4,16
LOU J,BOCI,4,0
LOU L,IMPERCAP,0,1
LOU L,MORGAN,3,31
LOUKASHOV D,VTBCAP,1,0
LOURENSZ S,ARETE,7,12
LOURO C,JPMORGAN,2,6
LOUTHAN F,RAYMOND,265,540
LOUTHAN IV F,RAYMOND,1,0
LOUTHAN/CROW,RAYMOND,1,3
LOUTHAN/DERUS,RAYMOND,7,0
LOUTHAN/DERUSSY,RAYMOND,0,9
LOUTHAN/SKLAR,RAYMOND,4,6
LOVAGLIO V,MIZUSEC,25,278
LOVALLO J,MERRILL,118,650
LOVALLO J,MIZUSEC,0,2
LOVE C,PIPER,24,147
LOVE C,SANDLER,3,17
LOVE I,MRNGSTAR,162,19
LOVE M,KEARNS,1,1
LOVELL N,JPMORGAN,0,5
LOVSTAD K,FONDSFIN,1,0
LOVSTAD K,SVENSKA,3,0
LOW A,GOEPEL,1,0
LOW D,JPMORGAN,14,54
LOW D,LAWRENCE,12,45
LOW H,CLALEXHK,3,6
LOW P,REDBURN,10,9
LOW X,MERRILL,0,1
LOW/REYNOLDS,GOEPEL,2,0
LOWE A,CLALEXHK,1,1
LOWE A,MIRAE,1,1
LOWE B,STIFEL,5,19
LOWE J,DAHLROSE,0,14
LOWE J,MERRILL,15,51
LOWE J,MORGAN,37,75
LOWE J,SIDOTI,14,27
LOWERY G,REDBURN,2,5
LOWRANCE F,AVONDALE,34,205
LOWRANCE F,FRIEDMAN,0,1
LOWRY P,JOLSON,14,30
LOWY G,MIZUSEC,52,179
LOWY G,NOBE,23,27
LOWY G,UNTERBUR,14,16
LOZNY D,MERRILL,2,6
LU B,CAPELEUR,1,1
LU B,GOLDMAN,8,100
LU B,MORGAN,11,16
LU C,BREAN,1,27
LU D,GOLDMAN,29,0
LU E,CHRENUSA,2,0
LU H,PIPER,28,56
LU H,STEINRES,0,1
LU J,AMRO,5,8
LU J,GOLDMAN,6,12
LU K,FAHN,24,68
LU L,BOCI,3,10
LU L,FRIEDMAN,16,48
LU M,DBSFH,7,17
LU M,FRCLAYSC,10,187
LU S,DBSFH,1,2
LU T,GOLDMAN,6,4
LU W,BERN,0,6
LU W,MORGAN,4,0
LU Y,BOCINTER,1,0
LU Y,QILU,1,0
LU Y,SINOLINK,2,0
"LU, PH.D D",GOLDMAN,18,281
"LU, PH.D. D",GOLDMAN,4,0
LUBERT J,BREAN,10,11
LUBERT J,MONTSEC,6,11
LUBERT J,WHEAT,43,28
LUBLIN L,IBI,2,3
LUCARELLI M,EVERCO,4,6
LUCAS B,GABELLCO,136,1
LUCAS C,SCOAST,83,506
LUCAS F,FZENOVEC,7,0
LUCAS F,JPMORGAN,2,16
LUCAS J,JANNEY,43,237
LUCHINI M,BURNS,52,218
LUCIA J,JOLSON,2,7
LUCIN C,JPMORGAN,6,11
LUCKEVICH M,RESEARCH,1,1
LUDINGTON B,MCDONALD,20,60
LUDTKE K,CRTCAP,58,88
LUDTKE K,STERNE,4,5
LUDWIG S,BERN,1,1
LUDWIG S,MCDONALD,56,95
LUDWIG S,NORTHRES,31,72
LUEBCHOW E,WHEAT,41,255
LUECKE B,BERN,14,47
LUECKE B,CFRANOWM,0,5
LUEDER L,LAWRENCE,2,2
LUGO T,BLAIR,81,195
LUI C,CHRENUSA,1,0
LUI C,JEFFEREG,1,1
LUI C,MORGAN,0,1
LUI S,BEREN,0,1
LUI S,WHEAT,70,166
LUI V,MRNGSTAR,23,0
LUKASIK T,MRNGSTAR,33,3
LUKE T,FRCLAYSC,47,245
LUKE T,LEHMAN,7,48
LUKE/SHAH,LEHMAN,0,4
LUKETIC I,JPMORGAN,2,14
LUKETIC K,MERRILL,4,12
LUKPANOV D,DOWLING,1,0
LUNA M,LAWRENCE,3,0
LUND H,CLARKY,2,3
LUNDBERG G,COMMRSCH,20,51
LUNDBERG J,FBOSTON,23,186
LUNDBERG J,JOHNRICE,0,1
LUNDBY E,DNC,0,1
LUNDE F,CARNEGIE,1,1
LUNDER T,DNC,5,15
LUNENBURG P,JOLSON,1,0
LUNT A,JEFFEREG,1,1
LUO C,MERRILL,10,35
LUO D,CLALEXHK,4,0
LUO I,MACQUARI,2,8
LUO J,JPMORGAN,2,2
LUO K,MORGAN,5,16
LUO L,MACQUARI,2,9
LUO L,SINOLINK,3,1
LUO P,GHUNTER,59,109
LUO W,GOLDMAN,2,8
LUO X,SINOLINK,2,0
LUO Y,HUAFIN,1,1
LUPICK N,ALTACORP,33,26
LURCH D,EXANE,1,7
LURIA G,DAVIDSON,44,118
LURIA G,OLMSTEAD,96,441
LURIO B,JPMORGAN,2,14
LUSCRI A,JPMORGAN,1,10
LUSTGARTEN E,LONGBOW,65,128
LUTENSKI M,BURNS,11,15
LUTENSKI M,GKM,14,46
LUTHER P,MERRILL,17,61
LUTHRA C,GOLDMAN,32,216
LUTHRA V,MERRILL,6,0
LUTZ A,MERRILL,19,144
LV C,HUAFIN,3,10
LV R,CICC,2,4
LY T,GRIFFMCB,1,3
LYALL N,SOGENED,3,18
LYE J,CFRANOWM,1,16
LYKINS J,DAVIDSON,24,159
LYKINS J,HILLIARD,20,74
LYNAGH C,CORREDOR,0,1
LYNAGH C,MORGAN,102,522
LYNCH B,FRCLAYSC,4,58
LYNCH B,SIDOTI,16,40
LYNCH J,BURNS,28,193
LYNCH J,GKM,6,79
LYNCH J,MACQUARI,7,10
LYNCH R,KEEFE,39,665
LYNCH S,WHEAT,6,0
"LYNCH, C R",KEEFE,9,0
LYNK Y,CANACCOR,41,81
LYNK Y,FBOSTON,0,1
LYON C,BRILEY,32,133
LYON C,BTIG,20,130
LYON C,CANACCOR,49,448
LYON C,CFRANOWM,0,4
LYON C,GHUNTER,21,47
LYON C,MIDEST,1,4
LYON C,MONTSEC,5,9
LYON C,OLMSTEAD,16,89
M M,FGS,5,0
MA C,FOSENSEC,1,0
MA C,JPMORGAN,1,1
MA H,GUGGEL,8,21
MA I,MERRILL,3,15
MA J,CANACCOR,1,4
MA J,CRUTTEN,38,88
MA L,SOOCHOW,1,0
MA M,CMCCS,2,0
MA M,NOMURAFH,2,0
MA M,SAMSNGFK,1,1
MA R,BOCI,1,2
MA R,HUAFIN,1,2
MA T,FRCLAYSC,23,51
MA V,FAHN,20,11
MA V,OPPEN,0,1
MA Y,BOCOM,9,0
MAADE D,BJM,1,1
MAADE D,CAPELEUR,34,102
MAAO F,DNC,12,30
MABBUTT M,NOMURAUS,4,16
MABILE Z,IBERIA,9,9
MABRY C,FRIEDMAN,45,164
MABRY C,KLRGRP,5,16
MABRY C,MABON,16,51
MABRY C,MCNICOLL,24,163
MABRY C,RAYMOND,0,1
MACARTHUR B,CFRANOWM,0,1
MACARTHUR B,GOEPEL,13,102
MACARTHUR B,RAYMOND,14,240
MACCAGNO P,NEEDHAM,9,29
MACCAGNO P,NORTHLAN,7,8
MACCAGNO P,SUMMCAP,12,17
MACCARTHY B,ATLANEQU,49,176
MACCULLOCH C,DESJARD,2,1
MACDONALD D,BERN,0,1
MACDONALD D,CFRANOWM,0,3
MACDONALD D,ROBINSON,134,1210
MACDONALD G,LEVESQUE,10,8
MACDONALD J,FIRSANAL,34,78
MACDONALD R,MORGAN,0,3
MACDONALD R,NEEDHAM,42,212
MACDONALD R,NORTHLAN,6,10
MACDONALD R,SUMMCAP,12,13
MACDONALD R,WNDRLICH,13,49
MACDONALD S,MCLEOD,1,0
MACDONALD/BER,FIRSANAL,9,0
MACDONALD/BERLIN,FIRSANAL,0,27
MACDONALD/VAN,FIRSANAL,1,0
MACDOUGALL M,CRUTTEN,0,0
MACDOUGALL M,SPROTTSE,1,2
MACEDO C,GOLDMAN,54,687
MACGREGOR D,LONGBOW,118,287
MACGREGOR J,SIDOTI,1,1
"MACGREGOR, CF D",LONGBOW,10,0
MACGREGOR/SHMOIS,LONGBOW,0,1
MACINDOE K,BURNS,8,20
MACIVER T,NCPNOR,2,4
MACK G,BIOINV,6,10
MACK G,BREAN,14,50
MACK G,FULGLO,8,11
MACK G,LAZARD,12,4
MACK G,MIZUSEC,13,19
MACK W,POORSTAN,1,1
MACK/MACK,MIZUSEC,2,3
MACKAY A,GARP,12,1
MACKAY D,CLARUS,2,2
MACKAY J,GLOMAX,1,0
MACKAY J,GOLDMAN,34,127
MACKAY J,MRNGSTAR,43,3
MACKAY K,FBOSTON,23,84
MACKAY K,RBCDOMIN,60,288
MACKENZIE B,CANACCOR,0,1
MACKENZIE B,TDSI,7,0
MACKENZIE K,CANACCOR,1,7
MACKENZIE R,FRIEDMAN,107,418
MACKENZIE R,IBERIA,39,265
"MACKENZIE, P. K",CANACCOR,2,0
MACKEY K,RBCDOMIN,12,108
MACKIE W,BEREN,2,2
MACKINNON J,LAWRENCE,1,1
MACKINNON T,BURNS,3,9
MACKINNON T,FAHN,0,1
MACKINNON T,GKM,4,2
MACKINNON T,MCLEOD,17,11
MACLEAN D,KEARNS,11,0
MACLEAN F,MERRILL,21,160
MACLEAN F,MERRINTL,1,0
