,IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,choice,companyid,brokername,overall_confidence,correct
221,EDJONES,23,0.8695652173913043,0.95,623,39861477.0,"Edward D. Jones & Co., L.P.",0.9088932591463857,True
763,PKOBP,23,1.0,0.8260869565217391,2061,52671205.0,PKO BP Securities,0.9088932591463857,True
10,ERSTEBER,23,0.9565217391304348,0.8636363636363636,659,12754926.0,First Berlin Equity Research GmbH,0.9088932591463857,True
974,JEFFEREG,470,0.9468085106382979,0.8719101123595505,90,22401937.0,Jefferies LLC,0.908587868559567,True
859,DNC,103,0.9029126213592233,0.9139784946236559,314,33444204.0,DNB Markets,0.908428708510801,True
947,ADVEST,40,0.925,0.8918918918918919,53,39929089.0,"Advest, Inc.",0.9082951062292475,True
476,BELTONE,40,0.95,0.868421052631579,516,39862191.0,Beltone Financial,0.9082951062292475,True
629,MERRINTL,468,0.9465811965811965,0.871331828442438,10,20921390.0,BofA Global Research,0.9081774742781968,True
42,DGBANK,57,0.9298245614035088,0.8867924528301887,145,26522896.0,Dz Bank Ag,0.9080536347093006,True
194,MKEEGAN,68,0.9264705882352942,0.8888888888888888,105,25231696.0,Morgan Keegan & Company,0.9074852129730302,True
876,SANDS,17,0.9411764705882353,0.875,985,39927000.0,Sands Brothers & Co. Ltd.,0.9074852129730301,True
555,ALFABANK,34,0.9117647058823529,0.9032258064516129,456,32894582.0,Alfa Bank,0.9074852129730301,True
410,FIRSANAL,34,0.9117647058823529,0.9032258064516129,658,26506194.0,First Analysis Securities Corporation,0.9074852129730301,True
116,KOTAK,79,0.9367088607594937,0.8783783783783784,803,39857855.0,Kotak Securities (Institutional Equities),0.9070748646757787,True
345,IIFLIND,45,1.0,0.8222222222222222,2362,60840251.0,IIFL Research,0.9067647005823629,True
29,OTKRITIE,28,1.0,0.8214285714285714,2212,52985439.0,Sova Capital Limited,0.9063269671749657,True
934,CRUTTEN,140,0.8857142857142857,0.9274193548387096,40,7973024.0,Roth MKM,0.9063269671749657,True
136,KEEFE,151,0.9139072847682119,0.8985507246376812,94,25231371.0,"Keefe, Bruyette, & Woods",0.906196475925686,True
795,FBOSTON,469,0.929637526652452,0.8807339449541285,4,25232407.0,Credit Suisse,0.9048554173048934,True
959,AMERTECH,44,0.9772727272727273,0.8372093023255814,54,7505182.0,"Gleacher & Company, Inc.",0.9045340337332909,True
463,BHFBANK,33,0.9696969696969697,0.84375,518,26522930.0,BHF-Bank Aktiengesellschaft,0.9045340337332909,True
233,GDUPONT,33,0.9090909090909091,0.9,685,26522723.0,Gilbert Dupont,0.9045340337332909,True
880,VTBCAP,33,0.9696969696969697,0.84375,2483,78940982.0,VTB Capital,0.9045340337332909,True
197,IDIRECT,33,1.0,0.8181818181818182,1110,43507143.0,ICICIdirect.com,0.9045340337332909,True
126,CONCORDE,11,0.9090909090909091,0.9,583,28438714.0,ConCorde Securities Ltd.,0.9045340337332909,True
819,ELIXIPAK,27,0.9259259259259259,0.88,245,34513176.0,Elixir Securities Pakistan (Pvt) Ltd.,0.9026709338484401,True
721,BARRING,27,0.8888888888888888,0.9166666666666666,141,25228326.0,"Barrington Research Associates, Inc.",0.90267093384844,True
357,ALPHAV,81,0.9012345679012346,0.9041095890410958,2790,43325655.0,AlphaValue,0.90267093384844,True
534,KBCSEC,27,1.0,0.8148148148148148,787,26631494.0,KBC Securities NV,0.90267093384844,True
999,CAPSTONE,27,1.0,0.8148148148148148,226,34332820.0,Capstone Investments,0.90267093384844,True
135,LEERINK,80,0.95,0.8552631578947368,96,25228754.0,Leerink Partners LLC,0.9013878188659973,True
529,ATONLINE,16,1.0,0.8125,479,26003831.0,Aton LLC,0.9013878188659973,True
375,KAUFBRO,53,0.9245283018867925,0.8775510204081632,29,12686990.0,"Kaufman Bros., L.P.",0.9007334537569819,True
7,NOBE,37,0.972972972972973,0.8333333333333334,888,39859659.0,"NOBLE Capital Markets, Inc.",0.9004503377814964,True
635,ARNHOLDB,37,0.9459459459459459,0.8571428571428571,34,25231668.0,Natixis Bleichroeder Inc.,0.9004503377814963,True
687,MCLEOD,169,0.9053254437869822,0.8954248366013072,120,25218044.0,Scotiabank Global Banking and Market,0.9003615315938174,True
206,NIVESH,21,1.0,0.8095238095238095,1696,50197617.0,IndiaNivesh Securities Limited,0.8997354108424374,True
162,TIW,21,0.9523809523809523,0.85,1324,40787552.0,TIW,0.8997354108424374,True
688,IBI,21,0.9047619047619048,0.8947368421052632,217,32893213.0,Israel Brokerage & Investments I.B.I. Ltd.,0.8997354108424374,True
851,ARQAAM,21,1.0,0.8095238095238095,2809,154192792.0,Arqaam Capital Research Offshore S.A.L.,0.8997354108424374,True
738,LONGBOW,42,1.0,0.8095238095238095,269,12344197.0,Longbow Research LLC,0.8997354108424374,True
277,CONAEURO,131,0.9694656488549618,0.8346456692913385,170,26538973.0,Canaccord Genuity,0.8995333820061995,True
91,MORGAN,470,0.9382978723404255,0.8616780045351474,11,25232855.0,Morgan Stanley,0.8991721961325719,True
104,MMWAR,52,0.9615384615384616,0.84,867,26538811.0,Warburg Research GmbH,0.8987170342729172,True
377,CRAIG,52,0.9615384615384616,0.84,181,26630571.0,Craig-Hallum Capital Group LLC,0.8987170342729172,True
179,DAKIN,26,1.0,0.8076923076923077,32,25217929.0,Moors & Cabot,0.8987170342729172,True
748,RMG,26,0.8846153846153846,0.9130434782608695,320,38887539.0,"Rye, Man and Gor Securities",0.898717034272917,True
259,TOKYO,57,0.9473684210526315,0.8518518518518519,1051,39763737.0,"Tokai Tokyo Intelligence Laboratory Co., Ltd.",0.898341551894183,True
569,ODDO,207,0.9178743961352657,0.8789473684210526,899,26257841.0,ODDO BHF Corporate & Markets,0.898200025063546,True
623,DAIWA,149,0.9060402684563759,0.8888888888888888,594,39857797.0,Daiwa Securities Co. Ltd.,0.8974236053931156,True
898,WNDRLICH,46,1.0,0.8043478260869565,1370,44235829.0,Wunderlich Securities Inc.,0.8968544062928813,True
341,BRYAN,46,0.9347826086956522,0.8604651162790697,1893,40180292.0,Bryan Garnier & Co,0.8968544062928813,True
745,REDBURN,86,0.9534883720930233,0.8414634146341463,1116,38837143.0,Redburn Atlantic,0.8957262870963143,True
605,LIBECAP,101,0.9900990099009901,0.81,2422,53146586.0,Panmure Liberum,0.8955334711889903,True
57,TRIMEGFL,25,0.92,0.8695652173913043,955,39834709.0,PT Trimegah Securities Tbk,0.894427190999916,True
312,VANKASPR,65,0.9230769230769231,0.8666666666666667,1088,9589274.0,"Wells Fargo Securities, LLC",0.894427190999916,True
879,OLMSTEAD,130,0.9,0.8888888888888888,129,26256844.0,Wedbush Securities Inc.,0.8944271909999159,True
255,CLARUS,40,0.975,0.8205128205128205,187,26750016.0,Clarus Securities Inc.,0.8944271909999159,True
578,MFGLOBAL,40,0.95,0.8421052631578947,1667,50014438.0,MF Global UK Limited,0.8944271909999159,True
74,ATLANTIK,5,1.0,0.8,477,28442283.0,J & T Banka,0.8944271909999159,True
485,AVENDUS,15,1.0,0.8,2280,54033825.0,IL&FS Broking Services Private Limited,0.8944271909999159,True
350,SINGRES,35,0.8571428571428571,0.9333333333333333,1447,37341138.0,Singular Research,0.8944271909999159,True
599,IMARASPR,5,1.0,0.8,1360,28440054.0,Momentum Securities (Pty) Ltd,0.8944271909999159,True
240,COIN,10,0.9,0.8888888888888888,578,40128322.0,Coinvalores Ccvm Ltda.,0.8944271909999159,True
470,STRUDWIC,10,0.9,0.8888888888888888,56,25217993.0,Anderson & Strudwick,0.8944271909999159,True
837,EUROBA,15,1.0,0.8,624,28457407.0,Eurobank Equities Investment Firm S.A.,0.8944271909999159,True
