IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,overall_confidence,choice,companyid,brokername
AVONDALE,56,0.9464285714285714,0.9056603773584906,(0.9258200997725515+0j),58,25218056.0,Avondale Partners
NBKUWAIT,14,1.0,0.8571428571428571,(0.9258200997725514+0j),271,32896402.0,NBK Capital
CANTORFZ,84,0.9523809523809523,0.9,(0.9258200997725514+0j),133,26630558.0,Cantor Fitzgerald & Co.
ALJAZ,7,1.0,0.8571428571428571,(0.9258200997725514+0j),2701,115562849.0,Aljazira Capital Company
AUSTOCK,28,1.0,0.8571428571428571,(0.9258200997725514+0j),286,28438508.0,PhillipCapital
GENOSSEN,69,0.9420289855072463,0.9076923076923077,(0.924701283533291+0j),964,39860963.0,Raiffeisen Bank International AG - Institutional Equity
ICHIYOSH,41,0.975609756097561,0.875,(0.9239364353597956+0j),735,12785414.0,Ichiyoshi Research Institute Inc.
AYUDHYA,34,1.0,0.8529411764705882,(0.9235481451827989+0j),485,39829384.0,Krungsri Securities Public Company Limited
HAYWOOD,47,0.9787234042553191,0.8695652173913043,(0.9225312080288851+0j),28,25217890.0,Haywood Securities Inc.
JMDUTTON,40,0.975,0.8717948717948718,(0.9219544457292888+0j),768,11686443.0,"Dutton Associates, LLC"
DSTEWART,20,1.0,0.85,(0.9219544457292888+0j),430,39857511.0,Daniel Stewart & Company
BREAN,86,0.9302325581395349,0.9125,(0.9213236181181538+0j),143,25218561.0,Brean Capital
STIFEL,290,0.9655172413793104,0.8785714285714286,(0.9210189260101909+0j),124,9532654.0,Stifel
GRIFFMCB,112,0.9464285714285714,0.8962264150943396,(0.9209854970162591+0j),197,31130825.0,Stifel Canada
BAYLAND,26,0.9230769230769231,0.9166666666666666,(0.9198662110077999+0j),512,39862214.0,Bayerische Landesbank
CONSUMER,13,1.0,0.8461538461538461,(0.9198662110077999+0j),2585,99618560.0,"Consumer Edge Research, LLC"
SELECTEQ,13,1.0,0.8461538461538461,(0.9198662110077999+0j),1302,40335406.0,Select Equities Pty Ltd
JOHNRICE,26,0.9230769230769231,0.9166666666666666,(0.9198662110077999+0j),773,26381329.0,"Johnson Rice & Company, L.L.C."
UNTERBUR,90,0.9666666666666667,0.8735632183908046,(0.9189365834726815+0j),144,25228419.0,Collins Stewart LLC
VERISEAR,32,0.9375,0.9,(0.9185586535436918+0j),2488,9994186.0,Veritas Investment Research Corp
SIDOTI,217,0.9078341013824884,0.9289340101522843,(0.918323457366864+0j),121,7923367.0,"Sidoti & Company, LLC"
ALPHAMEN,19,1.0,0.8421052631578947,(0.9176629354822471+0j),2827,158216626.0,AlphaMena
GABELLCO,57,0.8947368421052632,0.9411764705882353,(0.9176629354822471+0j),1203,3544884.0,"G. Research, LLC"
CORDIAL,88,0.9772727272727273,0.8604651162790697,(0.917010954628728+0j),2680,115280009.0,SMBC NIKKO
PIPER,295,0.9220338983050848,0.9117647058823529,(0.9168849252232774+0j),112,10559667.0,Piper Sandler Companies
BRILEY,50,0.94,0.8936170212765957,(0.916515138991168+0j),140,28814749.0,"B. Riley Securities, Inc."
FIRSOUTH,50,0.96,0.875,(0.916515138991168+0j),833,28954110.0,Macquarie Research
EUROMOB,25,0.92,0.9130434782608695,(0.916515138991168+0j),644,30346727.0,Equita SIM S.p.A.
MAXIM,56,0.9285714285714286,0.9038461538461539,(0.9161253813129043+0j),147,9790540.0,Maxim Group
KAUPBANK,74,0.9594594594594594,0.8732394366197183,(0.9153348228041135+0j),784,28440592.0,Singer Capital Markets
JEDAVY,37,0.9459459459459459,0.8857142857142857,(0.9153348228041135+0j),189,27694546.0,Davy
ARDENLTD,43,0.9767441860465116,0.8571428571428571,(0.914991421995628+0j),139,26749989.0,Arden Partners Plc.
LADENBUR,49,0.9387755102040817,0.8913043478260869,(0.9147320339189784+0j),38,24255118.0,Ladenburg Thalmann & Company
DMGEE,61,0.9344262295081968,0.8947368421052632,(0.9143662142547109+0j),5,25232408.0,Deutsche Bank
BVBANK,134,0.9402985074626866,0.8888888888888888,(0.9142324078276749+0j),511,27145387.0,UniCredit Research
LAWRENCE,465,0.9505376344086022,0.8778280542986425,(0.9134596883007687+0j),5,25232408.0,Deutsche Bank
OPSTOCK,18,0.9444444444444444,0.8823529411764706,(0.9128709291752769+0j),901,39858920.0,OP Corporate Bank (ESN)
JYSKE,24,0.9583333333333334,0.8695652173913043,(0.9128709291752769+0j),780,39836758.0,Jyske Bank A/S
ZACHODNI,24,0.9583333333333334,0.8695652173913043,(0.9128709291752769+0j),535,39861063.0,Santander Brokerage Poland
JANCO,18,1.0,0.8333333333333334,(0.9128709291752769+0j),205,26379015.0,"Janco Partners, Inc."
HELABA,12,0.9166666666666666,0.9090909090909091,(0.9128709291752769+0j),720,39858163.0,Helaba Trust
SICO,18,0.9444444444444444,0.8823529411764706,(0.9128709291752769+0j),1301,40330912.0,SICO
ANGELB,48,0.9791666666666666,0.851063829787234,(0.9128709291752769+0j),463,32892864.0,Angel Broking Private Limited
HILLIARD,18,0.9444444444444444,0.8823529411764706,(0.9128709291752769+0j),762,26630928.0,Hilliard Lyons
BANCOINV,30,0.9,0.9259259259259259,(0.9128709291752768+0j),495,40227581.0,BB Banco de Investimento S.A.
PACMAN,36,0.9722222222222222,0.8571428571428571,(0.9128709291752768+0j),1065,39928300.0,BTG Pactual
FONDSFIN,30,0.9666666666666667,0.8620689655172413,(0.9128709291752768+0j),289,33444273.0,Beringer Finance AB
HALLUM,106,0.9245283018867925,0.8979591836734694,(0.9111469032188405+0j),46,10168652.0,ThinkEquity LLC
SALMAN,47,0.9361702127659575,0.8863636363636364,(0.9109265799407509+0j),305,37179784.0,Salman Partners Inc.
WHEAT,317,0.9211356466876972,0.9006849315068494,(0.9108528952830013+0j),1088,9589274.0,"Wells Fargo Securities, LLC"
BOBCAP,35,1.0,0.8285714285714286,(0.9102589898327995+0j),3212,111813593.0,BOB Capital Markets Ltd.
MIDEST,70,0.9714285714285714,0.8529411764705882,(0.9102589898327995+0j),25,25231533.0,FTN Midwest Securities Corp.
LOOPCAMA,35,0.9714285714285714,0.8529411764705882,(0.9102589898327995+0j),98,25231492.0,Loop Capital Markets
GOLDMAN,466,0.9463519313304721,0.8752834467120182,(0.9101242663820753+0j),7,25232416.0,Goldman Sachs
MIZUHOFJ,128,0.953125,0.8688524590163934,(0.9100137361600648+0j),2351,40313274.0,"Mizuho Securities Co., Ltd."
PANME,116,0.9482758620689655,0.8727272727272727,(0.909717652294684+0j),165,26257529.0,Panmure Liberum Historic (Panmure Liberum).
NORTHLAN,58,0.9655172413793104,0.8571428571428571,(0.909717652294684+0j),893,37179964.0,Northland Capital Markets
FEARNLEY,29,0.9655172413793104,0.8571428571428571,(0.909717652294684+0j),288,33444303.0,Fearnley Securities
EDJONES,23,0.8695652173913043,0.95,(0.9088932591463857+0j),623,39861477.0,"Edward D. Jones & Co., L.P."
ERSTEBER,23,0.9565217391304348,0.8636363636363636,(0.9088932591463857+0j),659,12754926.0,First Berlin Equity Research GmbH
PKOBP,23,1.0,0.8260869565217391,(0.9088932591463857+0j),2061,52671205.0,PKO BP Securities
JEFFEREG,470,0.9468085106382979,0.8719101123595505,(0.908587868559567+0j),90,22401937.0,Jefferies LLC
DNC,103,0.9029126213592233,0.9139784946236559,(0.908428708510801+0j),314,33444204.0,DNB Markets
BELTONE,40,0.95,0.868421052631579,(0.9082951062292475+0j),516,39862191.0,Beltone Financial
ADVEST,40,0.925,0.8918918918918919,(0.9082951062292475+0j),53,39929089.0,"Advest, Inc."
MERRINTL,468,0.9465811965811965,0.871331828442438,(0.9081774742781968+0j),10,20921390.0,BofA Global Research
DGBANK,57,0.9298245614035088,0.8867924528301887,(0.9080536347093006+0j),145,26522896.0,Dz Bank Ag
MKEEGAN,68,0.9264705882352942,0.8888888888888888,(0.9074852129730302+0j),105,25231696.0,Morgan Keegan & Company
ALFABANK,34,0.9117647058823529,0.9032258064516129,(0.9074852129730301+0j),456,32894582.0,Alfa Bank
SANDS,17,0.9411764705882353,0.875,(0.9074852129730301+0j),985,39927000.0,Sands Brothers & Co. Ltd.
FIRSANAL,34,0.9117647058823529,0.9032258064516129,(0.9074852129730301+0j),658,26506194.0,First Analysis Securities Corporation
KOTAK,79,0.9367088607594937,0.8783783783783784,(0.9070748646757787+0j),803,39857855.0,Kotak Securities (Institutional Equities)
IIFLIND,45,1.0,0.8222222222222222,(0.9067647005823629+0j),2362,60840251.0,IIFL Research
CRUTTEN,140,0.8857142857142857,0.9274193548387096,(0.9063269671749657+0j),40,7973024.0,Roth MKM
OTKRITIE,28,1.0,0.8214285714285714,(0.9063269671749657+0j),2212,52985439.0,Sova Capital Limited
KEEFE,151,0.9139072847682119,0.8985507246376812,(0.906196475925686+0j),94,25231371.0,"Keefe, Bruyette, & Woods"
FBOSTON,469,0.929637526652452,0.8807339449541285,(0.9048554173048934+0j),4,25232407.0,Credit Suisse
GDUPONT,33,0.9090909090909091,0.9,(0.9045340337332909+0j),685,26522723.0,Gilbert Dupont
BHFBANK,33,0.9696969696969697,0.84375,(0.9045340337332909+0j),518,26522930.0,BHF-Bank Aktiengesellschaft
VTBCAP,33,0.9696969696969697,0.84375,(0.9045340337332909+0j),2483,78940982.0,VTB Capital
AMERTECH,44,0.9772727272727273,0.8372093023255814,(0.9045340337332909+0j),54,7505182.0,"Gleacher & Company, Inc."
CONCORDE,11,0.9090909090909091,0.9,(0.9045340337332909+0j),583,28438714.0,ConCorde Securities Ltd.
IDIRECT,33,1.0,0.8181818181818182,(0.9045340337332909+0j),1110,43507143.0,ICICIdirect.com
ELIXIPAK,27,0.9259259259259259,0.88,(0.9026709338484401+0j),245,34513176.0,Elixir Securities Pakistan (Pvt) Ltd.
CAPSTONE,27,1.0,0.8148148148148148,(0.90267093384844+0j),226,34332820.0,Capstone Investments
KBCSEC,27,1.0,0.8148148148148148,(0.90267093384844+0j),787,26631494.0,KBC Securities NV
BARRING,27,0.8888888888888888,0.9166666666666666,(0.90267093384844+0j),141,25228326.0,"Barrington Research Associates, Inc."
ALPHAV,81,0.9012345679012346,0.9041095890410958,(0.90267093384844+0j),2790,43325655.0,AlphaValue
LEERINK,80,0.95,0.8552631578947368,(0.9013878188659973+0j),96,25228754.0,Leerink Partners LLC
ATONLINE,16,1.0,0.8125,(0.9013878188659973+0j),479,26003831.0,Aton LLC
KAUFBRO,53,0.9245283018867925,0.8775510204081632,(0.9007334537569819+0j),29,12686990.0,"Kaufman Bros., L.P."
NOBE,37,0.972972972972973,0.8333333333333334,(0.9004503377814964+0j),888,39859659.0,"NOBLE Capital Markets, Inc."
ARNHOLDB,37,0.9459459459459459,0.8571428571428571,(0.9004503377814963+0j),34,25231668.0,Natixis Bleichroeder Inc.
MCLEOD,169,0.9053254437869822,0.8954248366013072,(0.9003615315938174+0j),120,25218044.0,Scotiabank Global Banking and Market
IBI,21,0.9047619047619048,0.8947368421052632,(0.8997354108424374+0j),217,32893213.0,Israel Brokerage & Investments I.B.I. Ltd.
ARQAAM,21,1.0,0.8095238095238095,(0.8997354108424374+0j),2809,154192792.0,Arqaam Capital Research Offshore S.A.L.
NIVESH,21,1.0,0.8095238095238095,(0.8997354108424374+0j),1696,50197617.0,IndiaNivesh Securities Limited
TIW,21,0.9523809523809523,0.85,(0.8997354108424374+0j),1324,40787552.0,TIW
LONGBOW,42,1.0,0.8095238095238095,(0.8997354108424374+0j),269,12344197.0,Longbow Research LLC
CONAEURO,131,0.9694656488549618,0.8346456692913385,(0.8995333820061995+0j),170,26538973.0,Canaccord Genuity
MORGAN,470,0.9382978723404255,0.8616780045351474,(0.8991721961325719+0j),11,25232855.0,Morgan Stanley
MMWAR,52,0.9615384615384616,0.84,(0.8987170342729172+0j),867,26538811.0,Warburg Research GmbH
DAKIN,26,1.0,0.8076923076923077,(0.8987170342729172+0j),32,25217929.0,Moors & Cabot
CRAIG,52,0.9615384615384616,0.84,(0.8987170342729172+0j),181,26630571.0,Craig-Hallum Capital Group LLC
RMG,26,0.8846153846153846,0.9130434782608695,(0.898717034272917+0j),320,38887539.0,"Rye, Man and Gor Securities"
TOKYO,57,0.9473684210526315,0.8518518518518519,(0.898341551894183+0j),1051,39763737.0,"Tokai Tokyo Intelligence Laboratory Co., Ltd."
